nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Natura Flex,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/1254,$ 364.200.000,58.0,2,2,2025,1,No info,No info
Orión,Apartamentos,La Estrella,,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella/proyecto/780,$ 371.000.000,61.0,2,2,No info,1,No info,No info
Yerbabuena,Lotes,El Retiro,Loma El Escobero,https://www.informeinmobiliario.com/lotes-venta-el-retiro-loma-el-escobero/proyecto/1109,$ 738.385.000,2503.0,No info,No info,No info,No info,No info,No info
Rosset,Apartamentos,Envigado,La Abadía,https://www.informeinmobiliario.com/apartamentos-venta-envigado-la-abadia/proyecto/651,$ 787.500.000,85.0,2,2,2024,2,1,Si
Rosset,Apartamentos,Envigado,La Abadía,https://www.informeinmobiliario.com/apartamentos-venta-envigado-la-abadia/proyecto/651,$ 865.845.000,94.0,2,3,2024,2,1,Si
Rosset,Apartamentos,Envigado,La Abadía,https://www.informeinmobiliario.com/apartamentos-venta-envigado-la-abadia/proyecto/651,$ 1.159.469.000,127.0,4,3,2024,2,1,Si
Rosset,Apartamentos,Envigado,La Abadía,https://www.informeinmobiliario.com/apartamentos-venta-envigado-la-abadia/proyecto/651,$ 1.197.566.000,130.0,4,3,2024,2,1,Si
Bangkok,Apartamentos,Sabaneta,Aves Marías,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-aves-marias/proyecto/781,$ 640.858.000,94.0,3,3,2023,1,1,Si
Bangkok,Apartamentos,Sabaneta,Aves Marías,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-aves-marias/proyecto/781,$ 678.014.000,99.0,3,3,2023,1,1,Si
Sendero Fresco,Apartamentos,Envigado,Camino Verde,https://www.informeinmobiliario.com/apartamentos-venta-envigado-camino-verde/proyecto/773,$ 614.213.000,80.0,2,3,2023,1,1,Si
San Simon,Apartamentos,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-antonio-de-pereira/proyecto/789,$ 514.463.000,74.0,3,3,2023 - 2024 - 2026,1,No info,Si
San Simon,Apartamentos,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-antonio-de-pereira/proyecto/789,$ 520.071.000,76.0,2,2,2023 - 2024 - 2026,1,1,Si
San Simon,Apartamentos,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-antonio-de-pereira/proyecto/789,$ 684.907.000,78.0,2,2,2023 - 2024 - 2026,1,1,Si
San Simon,Apartamentos,Rionegro,San Antonio de Pereira,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-san-antonio-de-pereira/proyecto/789,$ 634.000.000,84.0,2,3,2023 - 2024 - 2026,1,1,Si
Graz del Río,Apartamentos,Medellín,Ciudad del Rio,https://www.informeinmobiliario.com/apartamentos-venta-medellin-ciudad-del-rio/proyecto/1516,$ 550.000.000,51.0,2,1,No info,1,No info,Si
Lorient,Apartamentos,La Ceja,Vía Don Diego,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja-via-don-diego/proyecto/765,$ 466.759.600,64.0,2,2,Inmediata - 2025,1,1,Si
Verde Olivo,Apartamentos,Envigado,Camino Verde,https://www.informeinmobiliario.com/apartamentos-venta-envigado-camino-verde/proyecto/1374,$ 455.700.000,61.0,2,3,2025,1,No info,Si
Liff,Apartamentos,Rionegro,,https://www.informeinmobiliario.com/apartamentos-venta-rionegro/proyecto/1379,$ 427.351.200,47.0,2,1,2026,1,No info,Si
Liff,Apartamentos,Rionegro,,https://www.informeinmobiliario.com/apartamentos-venta-rionegro/proyecto/1379,$ 611.522.600,73.0,2,2,2026,1,No info,Si
Liff,Apartamentos,Rionegro,,https://www.informeinmobiliario.com/apartamentos-venta-rionegro/proyecto/1379,$ 769.888.000,97.0,2,3,2026,1,1,Si
Volare,Apartamentos,Caldas,,https://www.informeinmobiliario.com/apartamentos-venta-caldas/proyecto/159,$ 168.455.200,43.0,2,2,No info,No info,No info,No info
Vallejuelos,Apartamentos,La Unión,,https://www.informeinmobiliario.com/apartamentos-venta-la-union/proyecto/1321,$ 167.000.000,54.0,2,3,No info,No info,No info,No info
Monte Sion,Apartamentos,Copacabana,Machado,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-machado/proyecto/958,$ 168.200.000,57.0,2,3,No info,No info,No info,No info
Vermonte,Apartamentos,Marinilla,,https://www.informeinmobiliario.com/apartamentos-venta-marinilla/proyecto/1276,$ 166.600.000,39.0,1,2,No info,No info,No info,No info
Villa del Bosque,Apartamentos,San Antonio de Prado,,https://www.informeinmobiliario.com/apartamentos-venta-san-antonio-de-prado/proyecto/1521,$ 165.000.000,52.0,2,3,No info,No info,No info,No info
San Sebastian Lotes,Lotes,La Ceja,,https://www.informeinmobiliario.com/lotes-venta-la-ceja/proyecto/1018,$ 162.672.552,63.0,No info,No info,No info,No info,No info,No info
Luna Del Mar,Apartamentos,Medellín,Robledo,https://www.informeinmobiliario.com/apartamentos-venta-medellin-robledo/proyecto/962,$ 162.400.000,46.0,1,3,No info,No info,No info,No info
Kioto,Apartamentos,Envigado,Las Cometas,https://www.informeinmobiliario.com/apartamentos-venta-envigado-las-cometas/proyecto/1312,$ 160.000.000,23.0,1,1,No info,1,No info,No info
Altos de San José,Apartamentos,Marinilla,,https://www.informeinmobiliario.com/apartamentos-venta-marinilla/proyecto/1356,$ 146.740.000,42.0,1,2,2024,No info,No info,No info
Entre Montes,Apartamentos,Bello,,https://www.informeinmobiliario.com/apartamentos-venta-bello/proyecto/1409,$ 142.680.000,37.0,1,2,No info,No info,No info,No info
Be Live,Aparta Suites,Medellín,El Poblado,https://www.informeinmobiliario.com/aparta-suites-venta-medellin-el-poblado/proyecto/1462,$ 74.950.000,5.0,No info,No info,No info,No info,No info,No info
Be Live,Aparta Suites,Medellín,El Poblado,https://www.informeinmobiliario.com/aparta-suites-venta-medellin-el-poblado/proyecto/1462,$ 466.767.000,33.0,1,1,No info,No info,No info,No info
Be Live,Aparta Suites,Medellín,El Poblado,https://www.informeinmobiliario.com/aparta-suites-venta-medellin-el-poblado/proyecto/1462,$ 683.708.000,49.0,2,1,No info,No info,No info,No info
Be Live,Aparta Suites,Medellín,El Poblado,https://www.informeinmobiliario.com/aparta-suites-venta-medellin-el-poblado/proyecto/1462,$ 751.000.000,54.0,2,1,No info,No info,No info,No info
Be Live,Aparta Suites,Medellín,El Poblado,https://www.informeinmobiliario.com/aparta-suites-venta-medellin-el-poblado/proyecto/1462,$ 992.491.000,72.0,2,2,No info,No info,No info,No info
San Angel,Lotes,La Unión,,https://www.informeinmobiliario.com/lotes-venta-la-union/proyecto/1105,$ 100.000.000,72.0,No info,No info,No info,No info,No info,No info
